Age,Occupation,Gender,Education,Purpose of Trip,Charter Officials [Humble],Charter Officials [Well-mannered],Charter Officials [Fair],Charter Officials [Clarity in Interaction],Charter Officials [Soft spoken],Charter Officials [Hassel Free],Charter Officials [Problem Solver],Charter Officials [Well-Behaved],Charter Officials [Clear Understanding],Charter Officials [Quick and Reasonable],Airport [Landing Experience],Airport [Immigration],Airport [Baggage Claim],Airport [Custom Clearance],Airport [Retail Duty Free],Airport [Amenities],Airport [Accessibility],Airport [Overall Experience],Charter Services [Multiple Destination and Departures],Charter Services [Ticket Cost],Charter Services [Safety and Security],Charter Services [Booking Facility],Charter Services [Flexibility],Charter Services [Availability],Charter Services [Punctuality],Charter Services [Value for Money],Charter Services [Boarding Facility and Services Onboard],Charter Services [Ambience],Charter Services [Easy to Travel],Charter Services [Refund Policy],Charter Services [Handling Issues],Charter Services [Seat Reservation],Charter Services [Brand Image],Charter Services [Special Services],Charter Services [Seat Comfort],Charter Services [Airline Staff],Charter Services [Waiting Time],Charter Services [Boarding Time],Charter Services [Terminal-Aircraft Transfer],Charter Services Initiative [Customization of Services],Charter Services Initiative [Convenience of Schedule],Charter Services Initiative [On-Time Performances],Charter Services Initiative [Increase in Comfort],Charter Services Initiative [Food Customization],Charter Services Initiative [Rewards and Loyalty],Charter Services Initiative [Special Event Tours],Charter Services Initiative [Special Pricing],Charter Services Initiative [Stress-Free Travel],Charter Services Initiative [Security],Charter Services Initiative [Robotics based Service],Charter Services Initiative [Collaboration Across Borders],Charter Services Initiative [New Modern Airport],Charter Services Initiative [Encourage Sustainability-Minded],Charter Services Initiative [Smooth Transition],Charter Services Initiative [Hyper-Personalization],Charter Services Initiative [Data Privacy],Charter Services Initiative [Entertainment],Charter Services Initiative [In-Flight Internet]
25-44,Business person or trader,Male,Post graduate and above,Medical,A(4),A(4),A(4),SA (5),SA (5),SA (5),A(4),SA (5),SA (5),SA (5),As per the expectation (4),As per the expectation (4),More than expectation (5),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),More than expectation (5),Important (4),Extremely important (5),Extremely important (5),Important (4),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Important (4),Important (4),Important (4),Important (4),Extremely important (5),Important (4),Important (4),Important (4),Important (4),Important (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Neutral (3),Neutral (3)
25-44,Returning Indian,Male,Graduate,Medical,A(4),SA (5),SA (5),A(4),SA (5),A(4),SA (5),N(3),A(4),SA (5),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),As per the expectation (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Extremely important (5),Important (4),Important (4),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Important (4),Extremely important (5),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Neutral (3),Neutral (3)
65 and above,NRI,Male,Graduate,Business,A(4),A(4),A(4),A(4),A(4),SA (5),A(4),A(4),SA (5),N(3),As per the expectation (4),As per the expectation (4),As per the expectation (4),More than expectation (5),As per the expectation (4),Neutral (3),As per the expectation (4),As per the expectation (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Important (4),Important (4),Important (4),Important (4),Neutral (3),Important (4),Important (4),Neutral (3),Important (4),Important (4),Extremely important (5),Important (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5)
25-44,Returning Indian,Male,Graduate,Leisure,A(4),A(4),SA (5),SA (5),A(4),A(4),SA (5),SA (5),SA (5),A(4),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Neutral (3),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Neutral (3),Effective (4),Effective (4),Very Effective (5),Neutral (3)
45-64,Employed with a firm,Male,Post graduate and above,Cargo,A(4),A(4),A(4),A(4),A(4),A(4),A(4),A(4),A(4),A(4),Neutral (3),Neutral (3),As per the expectation (4),As per the expectation (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Important (4),Neutral (3),Important (4),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Neutral (3),Neutral (3),Extremely important (5),Important (4),Neutral (3),Important (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Effective (4),Effective (4),Effective (4),Effective (4),Neutral (3),Very Effective (5),Neutral (3),Neutral (3),Neutral (3),Effective (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3)
25-44,Employed with a firm,Male,Graduate,Cargo,A(4),N(3),N(3),A(4),N(3),A(4),A(4),A(4),A(4),A(4),Neutral (3),Neutral (3),As per the expectation (4),More than expectation (5),As per the expectation (4),As per the expectation (4),Neutral (3),Neutral (3),Extremely important (5),Important (4),Extremely important (5),Neutral (3),Neutral (3),Neutral (3),Important (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Important (4),Important (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Very Effective (5),Effective (4),Effective (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3)
45-64,Business person or trader,Male,Post graduate and above,Medical,A(4),A(4),A(4),A(4),A(4),SA (5),SA (5),SA (5),SA (5),SA (5),More than expectation (5),More than expectation (5),More than expectation (5),More than expectation (5),Did not met (1),Neutral (3),As per the expectation (4),More than expectation (5),Extremely important (5),Neutral (3),Important (4),Important (4),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Least important (2),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Not Very Effective (1),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4)
25-44,Employed with a firm,Female,Post graduate and above,Leisure,SA (5),A(4),A(4),SA (5),A(4),N(3),SA (5),SA (5),A(4),SA (5),More than expectation (5),Neutral (3),More than expectation (5),More than expectation (5),Neutral (3),As per the expectation (4),As per the expectation (4),As per the expectation (4),Important (4),Important (4),Important (4),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Extremely important (5),Extremely important (5),Important (4),Important (4),Important (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Neutral (3),Neutral (3)
45-64,Business person or trader,Male,Post graduate and above,Leisure,A(4),A(4),A(4),A(4),SA (5),A(4),SA (5),A(4),SA (5),SA (5),As per the expectation (4),Neutral (3),More than expectation (5),As per the expectation (4),As per the expectation (4),More than expectation (5),More than expectation (5),As per the expectation (4),Important (4),Neutral (3),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Important (4),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Extremely important (5),Important (4),Extremely important (5),Important (4),Extremely important (5),Important (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Less Effective (2),Neutral (3),Effective (4),Neutral (3),Effective (4),Effective (4),Neutral (3),Effective (4),Neutral (3),Less Effective (2)
25-44,Employed with a firm,Male,Graduate,Leisure,SA (5),SA (5),SA (5),SA (5),SA (5),SA (5),SA (5),SA (5),SA (5),SA (5),More than expectation (5),Neutral (3),As per the expectation (4),As per the expectation (4),As per the expectation (4),Neutral (3),As per the expectation (4),As per the expectation (4),Important (4),Extremely important (5),Extremely important (5),Neutral (3),Important (4),Important (4),Important (4),Important (4),Important (4),Neutral (3),Important (4),Important (4),Neutral (3),Important (4),Important (4),Neutral (3),Important (4),Important (4),Neutral (3),Important (4),Important (4),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Less Effective (2),Neutral (3),Effective (4),Neutral (3),Neutral (3),Effective (4),Neutral (3),Less Effective (2),Less Effective (2),Effective (4)
